k,ma_filter,ma_exit,avg_sharpe,med_sharpe,min_sharpe,avg_cagr,avg_mdd,ew_sharpe,ew_mdd
0.5000,80,5,0.7492,0.7432,0.5530,0.6648,-0.6629,1.7233,-0.4929
0.5000,30,10,0.7422,0.7416,0.5069,0.7194,-0.5009,1.7168,-0.3472
0.5000,30,3,0.7910,0.7635,0.3399,0.5477,-0.5721,1.7129,-0.3432
0.4000,50,3,0.8237,0.8236,0.4718,0.6302,-0.6714,1.7125,-0.4277
0.4000,60,10,0.7469,0.7641,0.5543,0.8170,-0.5564,1.7074,-0.4354
0.6000,10,3,0.7766,0.7788,0.3554,0.5392,-0.5868,1.7072,-0.3536
0.7000,10,3,0.7730,0.7659,0.3537,0.5503,-0.5538,1.7064,-0.3142
0.7000,20,3,0.8031,0.7838,0.4989,0.5574,-0.5618,1.7063,-0.3464
0.4000,10,5,0.7307,0.6544,0.5385,0.5885,-0.5967,1.7011,-0.3607
0.3000,70,5,0.7815,0.7549,0.5001,0.6751,-0.6538,1.7008,-0.4271
0.6000,80,3,0.8308,0.7769,0.5755,0.6106,-0.6749,1.6976,-0.5496
0.8000,10,3,0.7779,0.7686,0.4234,0.5367,-0.5360,1.6963,-0.3021
0.5000,20,5,0.7734,0.7443,0.5266,0.5794,-0.6079,1.6953,-0.3627
0.4000,70,5,0.7784,0.7410,0.5374,0.6471,-0.6822,1.6933,-0.4649
0.3000,60,10,0.7420,0.7654,0.5433,0.7967,-0.6051,1.6927,-0.4440
0.5000,10,5,0.7111,0.6647,0.4628,0.5449,-0.5863,1.6902,-0.3784
0.3000,50,3,0.8154,0.8148,0.5056,0.5867,-0.6599,1.6882,-0.4447
0.6000,20,3,0.8092,0.7527,0.5124,0.5369,-0.6030,1.6852,-0.3969
0.3000,10,5,0.7211,0.5991,0.4479,0.5968,-0.6391,1.6850,-0.3833
0.7000,80,3,0.8142,0.8098,0.5066,0.6203,-0.6416,1.6803,-0.5140
0.8000,80,10,0.7081,0.6750,0.5130,0.8120,-0.5289,1.6761,-0.3534
0.5000,70,10,0.7233,0.7463,0.5048,0.8249,-0.5503,1.6731,-0.3489
0.8000,80,3,0.7939,0.6973,0.5711,0.5944,-0.6141,1.6634,-0.4889
0.7000,20,10,0.7263,0.7456,0.5619,0.6837,-0.5312,1.6584,-0.3290
0.4000,30,5,0.7476,0.7005,0.4442,0.5144,-0.6065,1.6559,-0.3680
0.7000,80,10,0.7044,0.7228,0.5632,0.8117,-0.5520,1.6548,-0.3845
0.4000,80,5,0.7422,0.6955,0.5264,0.5998,-0.7277,1.6484,-0.5628
0.5000,70,3,0.7867,0.8135,0.3695,0.5997,-0.6509,1.6442,-0.4665
0.6000,80,10,0.7221,0.7060,0.5352,0.7925,-0.5905,1.6434,-0.4225
0.3000,70,10,0.7216,0.7431,0.5598,0.7606,-0.6078,1.6433,-0.4069
0.4000,70,10,0.7271,0.7384,0.5504,0.7548,-0.5922,1.6432,-0.3865
0.6000,10,10,0.7026,0.6981,0.5249,0.6483,-0.5630,1.6424,-0.3989
0.8000,20,10,0.7088,0.7030,0.5280,0.6456,-0.5365,1.6399,-0.3101
0.8000,20,3,0.7599,0.7165,0.5329,0.5097,-0.5605,1.6340,-0.3701
0.3000,80,5,0.7392,0.7150,0.4834,0.6076,-0.7175,1.6321,-0.5294
0.4000,60,3,0.7873,0.7464,0.4762,0.5545,-0.6636,1.6276,-0.4537
0.7000,10,10,0.6882,0.6959,0.5442,0.6321,-0.5602,1.6270,-0.3707
0.3000,60,3,0.7864,0.7873,0.4618,0.5347,-0.6707,1.6188,-0.4823
0.3000,30,5,0.7281,0.6808,0.4262,0.5037,-0.6066,1.6172,-0.4571
0.3000,10,10,0.6814,0.5999,0.4843,0.6624,-0.6258,1.6159,-0.4012
0.8000,10,10,0.6843,0.7018,0.5100,0.6103,-0.5595,1.6129,-0.3620
