atr,high_lb,top_n,rebal,vol_w,dir,vol_tgt,Sharpe,CAGR,MDD,Calmar,Trades
20,80,3,7,0.7000,long,0.0000,1.2144,0.7926,-0.7133,1.1111,253
14,80,3,7,0.7000,long,0.0000,1.2139,0.7878,-0.7111,1.1079,305
20,80,2,7,0.7000,long,0.2500,1.2129,0.3711,-0.4051,0.9161,4407
20,80,2,7,0.5000,long,0.2500,1.2121,0.3691,-0.4625,0.7980,4434
20,80,2,14,0.7000,long,0.2500,1.2113,0.3813,-0.4124,0.9247,4358
10,50,2,7,0.5000,long,0.0000,1.2092,0.8513,-0.7501,1.1350,314
10,80,1,14,0.3000,long,0.0000,1.2081,0.9654,-0.7363,1.3113,151
20,80,3,7,0.3000,long,0.0000,1.2081,0.8237,-0.7810,1.0547,405
20,80,3,7,0.5000,long,0.2500,1.2071,0.3722,-0.4382,0.8494,6600
20,80,1,3,0.5000,long,0.0000,1.2054,0.8371,-0.8005,1.0457,345
20,80,1,14,0.3000,long,0.2500,1.2021,0.3871,-0.4125,0.9385,2210
20,80,2,3,0.3000,long,0.2500,1.2000,0.3676,-0.4930,0.7455,4582
10,80,3,7,0.3000,long,0.2500,1.1993,0.3771,-0.4985,0.7565,6659
14,80,1,14,0.7000,long,0.2500,1.1983,0.3836,-0.4218,0.9094,2206
20,30,3,3,0.5000,long,0.2500,1.1957,0.3552,-0.4011,0.8854,6998
20,50,2,14,0.7000,long,0.0000,1.1952,0.8184,-0.7031,1.1640,154
14,80,2,14,0.5000,long,0.2500,1.1934,0.3671,-0.4302,0.8532,4356
10,80,3,7,0.5000,long,0.0000,1.1933,0.7738,-0.7581,1.0208,343
14,30,3,3,0.5000,long,0.0000,1.1930,0.7852,-0.7430,1.0568,747
10,30,3,7,0.3000,long,0.2500,1.1921,0.3580,-0.4303,0.8319,6876
20,80,3,3,0.7000,long,0.0000,1.1917,0.7675,-0.7186,1.0680,419
20,50,3,7,0.3000,long,0.0000,1.1913,0.8350,-0.7861,1.0621,513
10,30,2,7,0.3000,long,0.2500,1.1900,0.3651,-0.3792,0.9630,4625
10,30,2,7,0.5000,long,0.0000,1.1898,0.8276,-0.7020,1.1789,352
10,30,1,14,0.3000,long,0.0000,1.1892,0.9830,-0.7909,1.2428,203
20,80,1,14,0.7000,long,0.2500,1.1870,0.3792,-0.4155,0.9126,2194
14,50,2,7,0.3000,long,0.0000,1.1856,0.8511,-0.7976,1.0671,410
14,80,3,3,0.5000,long,0.2500,1.1855,0.3678,-0.4424,0.8314,6731
14,80,2,3,0.5000,long,0.0000,1.1850,0.7312,-0.7694,0.9505,476
20,50,2,7,0.3000,long,0.0000,1.1845,0.8521,-0.7972,1.0687,414
14,30,2,7,0.3000,long,0.0000,1.1839,0.8491,-0.6858,1.2382,472
20,30,3,7,0.3000,long,0.0000,1.1833,0.8184,-0.7050,1.1608,591
20,80,2,3,0.7000,long,0.0000,1.1820,0.7041,-0.7221,0.9751,328
20,30,3,3,0.5000,long,0.0000,1.1816,0.7827,-0.7368,1.0623,799
10,30,2,3,0.3000,long,0.2500,1.1805,0.3562,-0.4046,0.8804,4832
14,30,2,3,0.5000,long,0.2500,1.1797,0.3504,-0.4112,0.8523,4715
14,50,2,14,0.5000,long,0.0000,1.1796,0.7866,-0.7195,1.0932,172
14,80,3,14,0.7000,long,0.0000,1.1778,0.7629,-0.7062,1.0802,185
10,50,3,7,0.5000,long,0.0000,1.1773,0.7898,-0.7743,1.0199,391
14,30,2,14,0.7000,long,0.0000,1.1757,0.7635,-0.7125,1.0716,168
10,30,3,3,0.5000,long,0.0000,1.1755,0.7602,-0.7381,1.0299,801
10,50,2,14,0.3000,long,0.0000,1.1731,0.8374,-0.7465,1.1218,248
10,80,2,3,0.3000,long,0.0000,1.1720,0.7518,-0.8216,0.9151,580
20,80,2,14,0.7000,long,0.0000,1.1717,0.7713,-0.6992,1.1031,158
14,30,3,7,0.3000,long,0.2500,1.1711,0.3500,-0.4278,0.8181,6872
14,50,2,7,0.5000,long,0.2500,1.1702,0.3553,-0.4473,0.7943,4500
14,30,2,7,0.3000,long,0.2500,1.1637,0.3540,-0.3939,0.8988,4627
14,80,2,14,0.5000,long,0.0000,1.1637,0.7199,-0.7271,0.9901,154
14,80,1,14,0.5000,long,0.2500,1.1622,0.3683,-0.4063,0.9064,2197
20,80,1,14,0.7000,long,0.0000,1.1607,0.8078,-0.7260,1.1127,109
20,50,2,7,0.5000,long,0.0000,1.1605,0.7904,-0.7411,1.0666,306
14,80,1,3,0.3000,long,0.0000,1.1604,0.7966,-0.7936,1.0038,441
20,30,2,3,0.7000,long,0.2500,1.1588,0.3461,-0.4120,0.8399,4596
10,50,3,3,0.5000,long,0.0000,1.1574,0.7336,-0.7228,1.0149,683
10,80,3,7,0.7000,long,0.2500,1.1571,0.3868,-0.4370,0.8851,6616
20,80,3,14,0.7000,long,0.0000,1.1568,0.7298,-0.7164,1.0187,169
14,50,2,7,0.5000,long,0.0000,1.1551,0.7398,-0.7330,1.0093,302
14,80,1,14,0.3000,long,0.0000,1.1545,0.8432,-0.7280,1.1583,145
14,80,2,7,0.3000,long,0.2500,1.1539,0.3422,-0.5182,0.6604,4465
14,50,1,14,0.7000,long,0.0000,1.1533,0.7239,-0.7327,0.9879,131
20,50,2,3,0.5000,long,0.0000,1.1521,0.7254,-0.7185,1.0096,498
10,80,3,3,0.5000,long,0.2500,1.1504,0.3523,-0.4340,0.8118,6734
14,50,3,7,0.3000,long,0.2500,1.1485,0.3471,-0.4932,0.7039,6766
20,30,2,3,0.5000,long,0.2500,1.1483,0.3365,-0.4244,0.7930,4704
20,30,2,14,0.7000,long,0.0000,1.1460,0.7549,-0.6507,1.1601,174
10,50,2,7,0.5000,long,0.2500,1.1457,0.3465,-0.4754,0.7290,4506
10,80,1,14,0.7000,long,0.2500,1.1452,0.3591,-0.4610,0.7789,2202
10,80,2,14,0.5000,long,0.2500,1.1451,0.3482,-0.4417,0.7883,4356
