mom_lb,vol_s,vol_l,top_n,rebal,mom_w,dir,vol_tgt,Sharpe,CAGR,MDD,Calmar,Trades
20,5,20,3,7,0.7000,long,0.0000,1.3562,1.1336,-0.7912,1.4327,662
20,3,40,3,14,0.3000,long,0.0000,1.3558,1.1206,-0.7890,1.4203,469
5,5,20,2,7,0.5000,long,0.0000,1.3511,1.2045,-0.6040,1.9943,735
5,5,20,2,7,0.7000,long,0.0000,1.3505,1.1882,-0.6348,1.8718,722
20,3,20,3,14,0.3000,long,0.0000,1.3493,1.1038,-0.8171,1.3508,498
5,3,40,2,14,0.3000,long,0.0000,1.3485,1.1181,-0.7464,1.4980,356
20,5,20,2,3,0.3000,long,0.0000,1.3471,1.2644,-0.8623,1.4663,984
5,5,40,1,3,0.3000,long,0.0000,1.3457,1.5783,-0.8626,1.8296,754
5,3,20,1,3,0.5000,long,0.0000,1.3448,1.5821,-0.8448,1.8726,832
5,3,20,1,3,0.3000,long,0.2500,1.3421,0.5146,-0.2982,1.7259,2220
5,10,40,3,7,0.3000,long,0.2500,1.3406,0.4783,-0.3571,1.3395,5049
5,5,20,1,3,0.5000,long,0.0000,1.3382,1.5647,-0.8314,1.8819,800
20,3,20,3,7,0.7000,long,0.2500,1.3371,0.5332,-0.3873,1.3767,5008
5,10,20,3,7,0.3000,long,0.0000,1.3366,1.1021,-0.6439,1.7116,941
5,5,40,3,7,0.5000,long,0.2500,1.3340,0.4705,-0.3226,1.4584,5081
5,10,40,3,14,0.5000,long,0.0000,1.3339,1.0708,-0.7501,1.4275,483
5,10,20,3,7,0.3000,long,0.2500,1.3319,0.4734,-0.3240,1.4610,5062
5,10,40,3,14,0.7000,long,0.0000,1.3298,1.0665,-0.7749,1.3763,501
5,3,20,3,7,0.7000,long,0.2500,1.3295,0.4687,-0.3311,1.4154,5096
10,5,20,2,3,0.3000,long,0.0000,1.3281,1.1997,-0.7459,1.6084,1118
10,3,40,3,3,0.3000,long,0.0000,1.3268,1.1118,-0.8093,1.3738,1533
5,10,40,2,7,0.5000,long,0.2500,1.3267,0.4839,-0.3274,1.4780,3600
5,10,20,2,7,0.7000,long,0.0000,1.3266,1.1743,-0.6368,1.8441,711
5,10,20,2,14,0.3000,long,0.0000,1.3264,1.1339,-0.8285,1.3685,395
10,5,20,3,7,0.3000,long,0.0000,1.3260,1.1302,-0.8323,1.3579,925
20,10,20,3,14,0.3000,long,0.0000,1.3256,1.0800,-0.8179,1.3204,508
20,3,20,2,14,0.5000,long,0.0000,1.3248,1.1321,-0.7641,1.4817,358
10,3,40,3,3,0.5000,long,0.0000,1.3244,1.1179,-0.7840,1.4258,1453
5,3,20,3,7,0.5000,long,0.2500,1.3236,0.4639,-0.3567,1.3006,5092
10,3,20,2,3,0.3000,long,0.0000,1.3229,1.1948,-0.8189,1.4591,1235
5,10,20,3,7,0.7000,long,0.2500,1.3221,0.4663,-0.3304,1.4116,5088
10,10,40,2,3,0.7000,long,0.0000,1.3216,1.2086,-0.7786,1.5523,1022
5,3,20,1,3,0.7000,long,0.2500,1.3188,0.5061,-0.3219,1.5723,2202
20,3,40,2,7,0.3000,long,0.0000,1.3181,1.1725,-0.8268,1.4182,558
5,3,40,2,14,0.5000,long,0.0000,1.3177,1.0750,-0.7383,1.4561,382
5,5,40,1,7,0.3000,long,0.2500,1.3176,0.4746,-0.3550,1.3370,1947
20,3,20,3,14,0.7000,long,0.0000,1.3168,1.0483,-0.8053,1.3017,451
20,3,20,3,7,0.5000,long,0.2500,1.3164,0.5155,-0.4013,1.2845,5046
5,10,40,3,7,0.7000,long,0.2500,1.3138,0.4595,-0.3290,1.3967,5082
5,5,40,1,3,0.5000,long,0.0000,1.3138,1.4887,-0.8339,1.7853,780
5,3,40,3,7,0.3000,long,0.2500,1.3129,0.4584,-0.3553,1.2903,5083
20,3,20,2,7,0.3000,long,0.0000,1.3122,1.1974,-0.8434,1.4198,623
20,3,20,1,3,0.3000,long,0.0000,1.3119,1.4858,-0.8906,1.6682,702
20,5,40,2,7,0.5000,long,0.0000,1.3101,1.1487,-0.7670,1.4977,528
10,5,20,2,7,0.3000,long,0.0000,1.3097,1.1951,-0.7794,1.5332,697
5,10,20,3,7,0.5000,long,0.2500,1.3087,0.4630,-0.3414,1.3561,5073
20,5,20,2,3,0.5000,long,0.0000,1.3086,1.1877,-0.8701,1.3650,921
5,3,40,3,14,0.7000,long,0.0000,1.3074,1.0377,-0.7802,1.3300,497
20,10,20,3,7,0.5000,long,0.0000,1.3073,1.0505,-0.7627,1.3774,722
5,10,20,3,14,0.3000,long,0.0000,1.3072,1.0250,-0.7922,1.2940,530
20,3,20,2,3,0.5000,long,0.0000,1.3069,1.1711,-0.8653,1.3534,1023
20,3,20,3,7,0.3000,long,0.2500,1.3066,0.5339,-0.3876,1.3774,5079
5,10,20,3,3,0.7000,long,0.0000,1.3056,1.0687,-0.8339,1.2815,1870
20,5,20,3,14,0.7000,long,0.0000,1.3042,1.0330,-0.8034,1.2857,445
5,3,20,1,7,0.7000,long,0.2500,1.3032,0.4858,-0.3554,1.3671,1964
20,5,40,1,3,0.3000,long,0.0000,1.3030,1.4728,-0.8791,1.6754,544
5,10,40,2,3,0.5000,long,0.0000,1.3019,1.1367,-0.7969,1.4263,1340
20,3,20,3,3,0.5000,long,0.0000,1.3009,1.0559,-0.8916,1.1843,1334
5,10,40,1,3,0.3000,long,0.0000,1.3002,1.4574,-0.8349,1.7456,730
20,3,40,2,14,0.3000,long,0.0000,1.2989,1.0654,-0.8192,1.3005,356
5,10,20,3,3,0.5000,long,0.0000,1.2979,1.0679,-0.8497,1.2569,1814
20,10,20,3,7,0.7000,long,0.0000,1.2978,1.0405,-0.7891,1.3186,649
5,5,40,1,7,0.3000,long,0.0000,1.2970,1.3326,-0.6713,1.9852,408
20,5,40,3,7,0.7000,long,0.0000,1.2960,1.0407,-0.8117,1.2820,651
5,10,20,2,3,0.7000,long,0.0000,1.2956,1.1511,-0.8014,1.4363,1398
5,5,40,3,14,0.7000,long,0.0000,1.2951,1.0141,-0.7899,1.2839,507
20,5,40,3,7,0.3000,long,0.2500,1.2950,0.5226,-0.3869,1.3508,5043
5,10,40,3,7,0.5000,long,0.2500,1.2946,0.4535,-0.3317,1.3669,5065
5,10,40,1,7,0.3000,long,0.2500,1.2944,0.4690,-0.2949,1.5904,1926
5,10,40,2,7,0.7000,long,0.2500,1.2939,0.4591,-0.3333,1.3775,3601
5,3,40,1,7,0.7000,long,0.2500,1.2936,0.4820,-0.3769,1.2789,1956
5,5,20,1,3,0.5000,long,0.2500,1.2930,0.4884,-0.3776,1.2933,2203
10,3,40,2,3,0.5000,long,0.0000,1.2929,1.1728,-0.8057,1.4557,1099
20,5,20,3,7,0.5000,long,0.2500,1.2919,0.5173,-0.4006,1.2912,5048
20,3,40,3,7,0.3000,long,0.2500,1.2906,0.5225,-0.3858,1.3543,5048
5,5,20,2,7,0.3000,long,0.2500,1.2901,0.4379,-0.3499,1.2514,3621
5,3,20,3,14,0.3000,long,0.0000,1.2893,0.9813,-0.7471,1.3135,519
20,10,40,3,7,0.5000,long,0.0000,1.2889,1.0362,-0.7982,1.2982,667
5,3,20,1,7,0.3000,long,0.2500,1.2885,0.4529,-0.3313,1.3670,1958
20,3,20,2,14,0.3000,long,0.0000,1.2879,1.0672,-0.7774,1.3728,391
5,5,40,2,7,0.7000,long,0.2500,1.2876,0.4537,-0.3526,1.2870,3604
10,10,20,1,3,0.5000,long,0.0000,1.2869,1.4697,-0.8395,1.7506,586
20,5,40,3,14,0.3000,long,0.0000,1.2860,1.0247,-0.8010,1.2793,484
20,5,40,2,7,0.7000,long,0.0000,1.2854,1.1248,-0.8067,1.3943,488
20,10,40,1,3,0.3000,long,0.0000,1.2843,1.4190,-0.8574,1.6549,456
20,3,40,3,3,0.5000,long,0.0000,1.2838,1.0324,-0.8833,1.1688,1251
5,3,40,1,3,0.5000,long,0.0000,1.2835,1.4061,-0.8201,1.7146,824
10,5,20,3,14,0.3000,long,0.0000,1.2833,1.0443,-0.8265,1.2635,534
5,5,20,1,3,0.3000,long,0.0000,1.2833,1.3562,-0.8457,1.6036,770
5,5,20,3,7,0.5000,long,0.2500,1.2828,0.4461,-0.3373,1.3225,5094
20,3,40,1,3,0.3000,long,0.0000,1.2824,1.4339,-0.9185,1.5612,652
20,3,40,3,7,0.7000,long,0.0000,1.2809,1.0197,-0.8202,1.2432,649
10,10,20,2,3,0.7000,long,0.0000,1.2808,1.1360,-0.7748,1.4662,1051
