factor,horizon,mean_ic,std_ic,ir,t_stat,hit_rate,n_obs
cs_momentum,14,0.066236,0.414058,0.159968,7.477564,0.571625,2185
cs_vol_rank,1,-0.057856,0.464891,-0.124450,-5.834558,0.448590,2198
cs_vol_rank,3,-0.063527,0.460622,-0.137915,-6.462906,0.438069,2196
cs_vol_rank,7,-0.073842,0.453237,-0.162922,-7.627798,0.431569,2192
cs_vol_rank,14,-0.077581,0.446363,-0.173807,-8.124415,0.417391,2185
hl_range_ratio,1,-0.070693,0.472733,-0.149541,-7.036387,0.440831,2214
hl_range_ratio,3,-0.082424,0.457035,-0.180345,-8.481953,0.422694,2212
hl_range_ratio,7,-0.096272,0.465126,-0.206981,-9.725908,0.419837,2208
hl_range_ratio,14,-0.104908,0.445084,-0.235704,-11.058004,0.398001,2201
close_open_ratio,1,0.004636,0.389978,0.011889,0.559904,0.504058,2218
close_open_ratio,3,0.014575,0.387942,0.037569,1.768556,0.505415,2216
close_open_ratio,7,0.024640,0.387242,0.063631,2.992667,0.517631,2212
close_open_ratio,14,0.032665,0.383611,0.085151,3.998483,0.521995,2205
