noise_ratio,btc_ma,ma_short,sortino,sharpe,cagr_pct,mdd_pct,win_rate,num_trades
0.3000,30,10,3.3704,1.8553,93.5551,30.7561,27.8388,546
0.7000,30,10,3.3457,1.8713,88.3464,29.1873,35.3659,328
0.5000,60,5,3.2782,1.7604,75.9274,31.6527,31.5697,567
0.8000,80,5,3.2756,1.7776,65.3028,24.4457,37.7261,387
0.8000,30,10,3.2720,1.8428,84.8051,26.0591,37.1711,304
0.4000,60,5,3.2715,1.7602,77.6159,32.0172,29.3846,650
0.3000,60,5,3.2621,1.7459,78.3001,28.8710,27.4382,769
0.7000,80,5,3.2612,1.7641,66.7128,22.8897,35.1724,435
0.3000,70,5,3.2463,1.7248,74.5200,29.1101,26.7185,771
0.6000,50,10,3.2005,1.7822,80.1826,33.5848,29.0667,375
0.7000,50,10,3.1863,1.7829,79.1320,31.6343,30.5389,334
0.4000,70,5,3.1706,1.6962,71.2131,32.0172,28.6810,652
0.6000,80,5,3.1377,1.6997,64.7602,26.7249,31.7460,504
0.8000,50,10,3.1362,1.7653,76.7660,32.7977,32.7869,305
0.5000,70,5,3.1348,1.6775,68.6085,30.1762,30.0699,572
0.4000,50,10,3.0720,1.7068,77.1302,34.4705,24.7012,502
0.3000,80,5,3.0428,1.6253,65.3741,29.1463,26.1814,783
0.5000,50,10,3.0112,1.6753,74.2472,34.6159,25.6180,445
0.4000,80,5,2.9691,1.6036,62.8217,32.0172,28.2051,663
0.5000,80,5,2.8999,1.5691,59.5774,30.1762,29.6233,584
0.3000,50,10,2.8838,1.6114,72.1379,40.3391,23.3613,595
0.6000,60,10,2.8748,1.6181,69.9103,37.0388,27.4752,404
0.7000,60,10,2.8405,1.6099,68.5295,34.2199,28.8089,361
0.8000,60,10,2.8293,1.6056,67.0335,36.0348,31.5789,323
0.4000,60,10,2.7655,1.5504,67.4746,37.7026,23.8095,546
0.7000,70,10,2.7326,1.5479,63.3541,33.9040,27.1233,365
0.8000,70,10,2.7273,1.5512,62.5430,35.4824,29.7546,326
0.5000,60,10,2.7130,1.5255,64.9341,35.9429,24.9476,477
0.6000,70,10,2.6821,1.5142,62.3274,36.9830,25.0000,416
0.3000,60,10,2.6420,1.4863,64.3824,38.0516,22.4299,642
0.4000,70,10,2.5988,1.4574,60.2929,39.4219,22.4599,561
0.5000,70,10,2.5710,1.4464,58.9915,35.9667,23.3129,489
0.3000,70,10,2.5309,1.4198,58.8292,38.8491,20.9970,662
0.7000,80,10,2.4132,1.3967,52.8231,32.6786,26.0753,372
0.8000,80,10,2.3820,1.3883,51.5484,34.4921,28.5285,333
0.6000,80,10,2.3333,1.3445,50.7928,34.1141,23.7762,429
0.4000,80,10,2.2997,1.3109,50.0359,37.1960,21.7014,576
0.5000,80,10,2.2882,1.3078,49.3374,35.9182,22.5100,502
0.3000,80,10,2.2864,1.2965,49.8118,38.9285,19.9706,681
