noise_ratio,btc_ma,ma_short,sortino_full,roll_mean,roll_min,neg_pct,sharpe,cagr_pct,mdd_pct,num_trades
0.8000,10,10,3.5421,3.6887,-0.9228,2.7809,1.9580,95.6780,32.5602,292
0.3000,10,10,3.6221,3.6550,-0.8639,3.3000,1.9729,106.6965,33.4081,459
0.5000,30,10,3.6298,3.6318,-0.1908,0.2225,1.9883,99.9545,26.3738,411
0.5000,10,10,3.5369,3.6201,-0.8080,3.0404,1.9462,101.8192,30.5046,379
0.6000,30,10,3.6184,3.5994,-0.4490,1.4090,1.9982,99.3776,28.3792,355
0.7000,50,5,3.9229,3.5937,-1.2355,9.6595,2.0686,90.7088,27.7523,406
0.4000,30,10,3.5782,3.5732,-0.4207,0.2595,1.9592,99.4946,27.8304,466
0.8000,50,5,3.9832,3.5630,-0.9282,6.4397,2.0953,89.9451,26.4082,363
0.8000,20,10,3.4101,3.5500,-0.6225,0.4079,1.9078,89.2980,24.7978,293
0.3000,20,10,3.3978,3.5211,-1.6125,5.2651,1.8633,94.1114,30.6185,518
0.6000,50,5,3.9391,3.5145,-1.1830,9.5485,2.0722,92.8852,27.7748,458
0.7000,30,10,3.3457,3.4508,-0.6468,1.5944,1.8713,88.3464,29.1873,328
0.8000,60,5,3.7056,3.4141,-0.7923,4.6632,1.9616,82.1459,22.8754,379
0.7000,60,5,3.6085,3.3993,-1.1055,5.0703,1.9300,82.7373,23.9925,428
0.3000,30,10,3.3704,3.3934,-0.7371,4.4865,1.8553,93.5551,30.7561,546
0.8000,30,10,3.2720,3.3403,-0.1851,0.0742,1.8428,84.8051,26.0591,304
0.6000,60,5,3.5979,3.2832,-0.8998,6.7728,1.9212,84.0155,24.8026,485
0.3000,50,5,3.5373,3.2363,-2.0915,10.1406,1.8685,85.6898,38.7239,737
0.8000,70,5,3.5954,3.2361,-1.2902,7.6980,1.9020,75.8207,23.2725,380
0.7000,70,5,3.5339,3.2169,-1.9175,13.2124,1.8762,76.4183,25.6421,429
0.5000,50,5,3.5690,3.2104,-1.9234,9.0303,1.8897,83.3922,38.2818,541
0.4000,50,5,3.5945,3.2051,-1.7979,8.5862,1.9056,86.1995,36.4538,615
0.8000,80,5,3.2756,3.0495,-1.5095,8.9193,1.7776,65.3028,24.4457,387
0.6000,70,5,3.4504,3.0452,-1.7492,13.5085,1.8348,75.8372,26.1839,492
0.7000,80,5,3.2612,3.0321,-1.9388,11.2879,1.7641,66.7128,22.8897,435
0.3000,60,5,3.2621,3.0185,-2.1260,11.2139,1.7459,78.3001,28.8710,769
0.5000,60,5,3.2782,3.0090,-1.5992,8.1791,1.7604,75.9274,31.6527,567
0.3000,70,5,3.2463,2.9908,-2.1693,12.1021,1.7248,74.5200,29.1101,771
0.4000,60,5,3.2715,2.9760,-1.4834,8.6603,1.7602,77.6159,32.0172,650
0.7000,50,10,3.1863,2.9452,-1.1389,11.7538,1.7829,79.1320,31.6343,334
0.6000,50,10,3.2005,2.8664,-1.2181,14.3864,1.7822,80.1826,33.5848,375
0.4000,70,5,3.1706,2.8582,-1.6910,12.4722,1.6962,71.2131,32.0172,652
0.8000,50,10,3.1362,2.8388,-1.1335,11.2718,1.7653,76.7660,32.7977,305
0.5000,70,5,3.1348,2.8294,-1.8588,13.9526,1.6775,68.6085,30.1762,572
0.3000,80,5,3.0428,2.8265,-2.3381,11.5470,1.6253,65.3741,29.1463,783
0.6000,80,5,3.1377,2.8145,-1.7913,15.6921,1.6997,64.7602,26.7249,504
0.4000,50,10,3.0720,2.7646,-1.5090,10.7156,1.7068,77.1302,34.4705,502
0.4000,80,5,2.9691,2.7281,-1.6469,13.1014,1.6036,62.8217,32.0172,663
0.5000,50,10,3.0112,2.7218,-1.5614,14.0897,1.6753,74.2472,34.6159,445
0.7000,60,10,2.8405,2.7008,-1.3153,7.0078,1.6099,68.5295,34.2199,361
0.5000,80,5,2.8999,2.6868,-1.8148,13.9896,1.5691,59.5774,30.1762,584
0.8000,60,10,2.8293,2.6438,-1.1316,8.4168,1.6056,67.0335,36.0348,323
0.3000,50,10,2.8838,2.6396,-2.3085,18.3537,1.6114,72.1379,40.3391,595
0.6000,60,10,2.8748,2.6389,-1.2001,9.6774,1.6181,69.9103,37.0388,404
0.7000,70,10,2.7326,2.5283,-1.8363,15.0908,1.5479,63.3541,33.9040,365
0.8000,70,10,2.7273,2.5226,-1.1760,11.6796,1.5512,62.5430,35.4824,326
0.4000,60,10,2.7655,2.5221,-1.7688,8.9729,1.5504,67.4746,37.7026,546
0.5000,60,10,2.7130,2.5019,-1.6863,9.0100,1.5255,64.9341,35.9429,477
0.3000,60,10,2.6420,2.4253,-2.6470,13.4965,1.4863,64.3824,38.0516,642
0.6000,70,10,2.6821,2.3895,-1.7970,16.3144,1.5142,62.3274,36.9830,416
0.3000,70,10,2.5309,2.3472,-2.5415,17.0189,1.4198,58.8292,38.8491,662
0.7000,80,10,2.4132,2.3358,-1.9997,16.5740,1.3967,52.8231,32.6786,372
0.5000,70,10,2.5710,2.3169,-1.9890,15.4987,1.4464,58.9915,35.9667,489
0.4000,70,10,2.5988,2.3165,-1.9338,14.5717,1.4574,60.2929,39.4219,561
0.8000,80,10,2.3820,2.3068,-1.6732,11.4201,1.3883,51.5484,34.4921,333
0.3000,80,10,2.2864,2.1778,-2.7669,18.6874,1.2965,49.8118,38.9285,681
0.4000,80,10,2.2997,2.1639,-1.9884,17.2043,1.3109,50.0359,37.1960,576
0.5000,80,10,2.2882,2.1622,-2.0185,17.4268,1.3078,49.3374,35.9182,502
0.6000,80,10,2.3333,2.1598,-1.9638,18.0942,1.3445,50.7928,34.1141,429
