k,ma_filter,ma_exit,avg_sharpe,avg_cagr,avg_mdd,ew_sharpe,ew_mdd
0.8000,10,10,1.1921,0.9237,-0.3465,1.5457,-0.2432
0.7000,10,10,1.1961,0.9537,-0.3715,1.5398,-0.2518
0.5000,10,10,1.1874,0.9788,-0.3005,1.5358,-0.2246
0.5000,70,5,1.1246,0.7277,-0.3370,1.5276,-0.2901
0.4000,10,10,1.1765,0.9841,-0.2755,1.5201,-0.2359
0.3000,70,3,1.1774,0.7372,-0.5269,1.5168,-0.4215
0.3000,30,10,1.1681,1.0213,-0.3097,1.5133,-0.2183
0.7000,50,10,1.1752,0.9541,-0.2517,1.5095,-0.2292
0.4000,80,5,1.1169,0.7186,-0.3393,1.5095,-0.3164
0.7000,80,5,1.1057,0.6514,-0.3329,1.5087,-0.2974
0.3000,80,5,1.1232,0.7306,-0.3724,1.5080,-0.3298
0.3000,80,3,1.1376,0.6860,-0.4916,1.5072,-0.4126
0.8000,50,10,1.1657,0.9208,-0.2257,1.5047,-0.2105
0.3000,20,10,1.1730,0.9541,-0.3801,1.5033,-0.3570
0.3000,10,10,1.1634,0.9777,-0.2923,1.5019,-0.2511
0.4000,50,10,1.1544,0.9780,-0.3493,1.4822,-0.3292
0.6000,50,10,1.1513,0.9415,-0.3053,1.4769,-0.2976
0.6000,80,5,1.0865,0.6567,-0.3268,1.4706,-0.2792
0.4000,60,10,1.1536,0.8884,-0.2998,1.4619,-0.2374
0.8000,60,10,1.1489,0.8052,-0.2727,1.4597,-0.2510
0.5000,80,5,1.0798,0.6619,-0.2977,1.4562,-0.2396
0.6000,60,10,1.1503,0.8500,-0.2970,1.4556,-0.2477
0.5000,50,10,1.1254,0.9197,-0.3589,1.4437,-0.3233
0.7000,60,10,1.1410,0.8194,-0.2955,1.4436,-0.2118
0.8000,70,10,1.1236,0.7650,-0.2672,1.4238,-0.2632
0.5000,60,10,1.1223,0.8294,-0.3073,1.4198,-0.2385
0.4000,70,10,1.1119,0.8262,-0.3651,1.4095,-0.3275
